"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"300662","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina","unclassified"
"4439469","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"354254","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified"
"527762","Bacteria","Cyanobacteria","4C0d-2","YS2","unclassified","unclassified","unclassified"
"177660","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"191442","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"198814","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"193797","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"105287","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"149699","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"182044","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"198362","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"179291","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"4380191","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis"
"4408801","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified"
"4447950","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"537219","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"178478","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"178474","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4309760","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4310221","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified","unclassified","unclassified"
"180771","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"760544","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"301294","Bacteria","Tenericutes","RF3","ML615J-28","unclassified","unclassified","unclassified"
"4424063","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"192204","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"13986","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4225004","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","unclassified"
"4410265","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera","unclassified"
"189387","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"287539","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"817995","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"16002","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4453535","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","unclassified","unclassified"
"185734","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"186389","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified"
"195494","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"845444","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"509723","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"787049","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","unclassified"
"4457438","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"278928","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified"
"176450","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"174589","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"1108745","Bacteria","Firmicutes","Clostridia","Clostridiales","Mogibacteriaceae","unclassified","unclassified"
"312586","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"207126","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"2307779","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified"
"4397737","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"2123719","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","unclassified"
"306299","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"183169","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4401110","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"4393745","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"4353658","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium","unclassified"
"925131","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"3422630","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4315958","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","unclassified"
"3544569","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4479612","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","flavefaciens"
"180414","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"4365130","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"4288931","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"932077","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","mucilaginosa"
"1848900","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"172233","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"300859","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"528752","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"157966","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"174174","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","02d06","unclassified"
"2532173","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis"
"3807411","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"183620","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"189630","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4332078","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"350224","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","flavefaciens"
"4410938","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Eubacterium","biforme"
"114400","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4458306","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"185281","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","unclassified"
"292216","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","unclassified"
"840961","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"758471","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"3757799","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","unclassified"
"4295707","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Eubacterium","biforme"
"173917","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"3857426","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"189997","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","unclassified"
"179663","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"175168","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"175704","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"300620","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"176113","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"351091","Bacteria","Cyanobacteria","4C0d-2","YS2","unclassified","unclassified","unclassified"
"188735","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"319262","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4359984","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4406817","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4406814","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4406818","Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","Dehalobacterium","unclassified"
"173135","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"196100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4468466","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4468465","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"145737","Bacteria","Tenericutes","Mollicutes","RF39","unclassified","unclassified","unclassified"
"4424239","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","unclassified"
"683112","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"290974","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified"
"4465275","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","unclassified"
"196742","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"194526","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"172878","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"194424","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified"
"182196","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4434334","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"452014","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified"
"2304693","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","marcescens"
"1148151","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","unclassified"
"4454432","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"174840","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"25695","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"163857","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","unclassified"
"559149","Bacteria","Cyanobacteria","4C0d-2","YS2","unclassified","unclassified","unclassified"
"191740","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"17311","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"193679","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"99566","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"586453","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"187929","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4314092","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"4458227","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"190658","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified"
"4333655","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister","unclassified"
"175148","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"179649","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"237134","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"175145","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4428676","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified"
"851938","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","moorei"
"516873","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"4336939","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"568952","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4480359","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"828333","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"530437","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"2056702","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"308760","Bacteria","Tenericutes","Mollicutes","RF39","unclassified","unclassified","unclassified"
"178773","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"333949","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4402537","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","unclassified","unclassified"
"4342104","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified"
"181254","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4474951","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","parvula"
"4456605","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"125624","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"235212","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"113397","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"349431","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified"
"4403259","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","unclassified","unclassified"
"179585","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4366728","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","unclassified"
"301765","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4349261","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"269327","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","unclassified"
"3141342","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified"
"172857","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1010876","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified"
"178183","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"4238179","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"187126","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"610842","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"4380971","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified"
"210896","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","unclassified","unclassified"
"197179","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4482983","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","unclassified"
"289714","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"174862","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"189679","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4354486","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"192438","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"183932","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"151870","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","unclassified"
"177984","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified"
"292967","Bacteria","Tenericutes","Mollicutes","RF39","unclassified","unclassified","unclassified"
"4449236","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","unclassified"
"179625","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"177188","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"362793","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","unclassified"
"335910","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified"
"2506486","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"309134","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"250302","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","unclassified"
"176297","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4060501","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified","unclassified"
"609295","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"2365690","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"4442130","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","unclassified"
"4322275","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"3890155","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"316758","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"217109","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"195947","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified"
"174473","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"3566949","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","unclassified"
"703321","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"189793","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"196140","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Slackia","unclassified"
"354563","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified"
"181239","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"634449","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"4472091","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified"
"1146771","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","unclassified"
"4465284","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"4315790","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"185420","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"4460847","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified"
"173876","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"310979","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"295100","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
